mol_idx,edit_type,site_idx,n_depths_used,entropy_mean,entropy_std,entropy_range
1426,b,6,6,3.369839390118917,0.4162801358185382,1.0071544647216797
1427,a,11,6,4.109556158383687,0.14005134516057663,0.37899303436279297
1428,b,26,6,3.5615748167037964,0.3710007039562078,0.9176232814788818
1429,b,1,6,4.217552105585734,0.3149826291042566,0.7997004985809326
1430,a,15,6,4.047049800554912,0.2192164256707789,0.5347411632537842
1431,b,14,6,3.8244892756144204,0.3189114093635484,0.8418283462524414
1432,b,14,6,3.6982346375783286,0.36861320833367955,0.876835823059082
1433,b,33,6,4.068202972412109,0.41770845669865947,1.0659942626953125
1434,a,4,6,3.1819964249928794,0.41810495908683387,0.9776687622070312
1435,b,19,6,3.6122352282206216,0.34915813322756206,0.8281607627868652
1436,b,28,6,3.9684211810429892,0.3507605661091378,0.8228569030761719
1437,a,15,6,4.270403782526652,0.15911017586183757,0.4274892807006836
1438,b,14,6,3.4343099196751914,0.4013096066342806,1.063655138015747
1439,b,56,6,4.342628518740336,0.4122479122176827,1.0394082069396973
1440,b,17,6,4.512352228164673,0.4006446946953172,1.0169177055358887
1441,b,34,6,4.249342838923137,0.3946226708200754,0.9922754764556885
1442,b,58,6,4.732668002446492,0.2537573585774905,0.6415934562683105
1443,a,0,6,4.007312019666036,0.1897973695986351,0.49899840354919434
1444,b,45,6,3.968210776646932,0.43657363002675753,1.1392805576324463
1445,a,0,6,4.116888840993245,0.31464388073089405,0.7920963764190674
1446,b,13,6,4.07025667031606,0.3480346724538614,0.9200427532196045
1447,b,7,6,3.034749229749044,0.4114497753154407,0.9488072395324707
1448,a,5,6,3.3171960512797036,0.3738478462381004,0.9134528636932373
1449,b,25,6,3.204283356666565,0.38325928361478095,1.0106618404388428
1450,a,45,6,4.8720933596293134,0.12134730441403631,0.33445024490356445
1451,a,2,6,3.370690902074178,0.1173104312908676,0.2946481704711914
1452,b,9,6,4.217087785402934,0.3758749454023655,0.9547231197357178
1453,b,9,6,3.670187473297119,0.36979433438118164,0.930166482925415
1454,b,27,6,3.878650108973185,0.40677725402784465,1.0703983306884766
1455,b,29,6,3.9140105644861856,0.45000056627701823,1.081794023513794
1456,b,17,6,3.8568370739618936,0.4095749454673483,0.9536342620849609
1457,a,24,6,4.291848659515381,0.1743919540398104,0.4644474983215332
1458,b,10,6,3.6624749898910522,0.33059312174788374,0.8797056674957275
1459,b,19,6,3.972418427467346,0.42074247316874586,1.038938283920288
1460,b,52,6,4.247086366017659,0.4058028921577508,1.0522170066833496
1461,b,25,6,3.9819082816441855,0.3767449830417419,0.9764549732208252
1462,b,20,6,4.399815638860066,0.21237022724588864,0.5404448509216309
1463,b,44,6,4.0213373104731245,0.3782094047210383,0.9234356880187988
1464,a,9,6,4.372489929199219,0.3212228678246808,0.7865071296691895
1465,b,31,6,3.9210305213928223,0.24537243196978964,0.6050748825073242
1466,a,9,6,3.431925614674886,0.17581207170297397,0.42775607109069824
1467,b,15,6,3.5680553118387857,0.5554495581710153,1.3579380512237549
1468,b,15,6,3.34588889280955,0.5300070785516398,1.3618276119232178
1469,b,17,6,3.8977473974227905,0.34038129768686104,0.9364545345306396
1470,b,15,6,4.2493745883305865,0.3677413812665282,0.9534060955047607
1471,b,12,6,3.8049835364023843,0.6431204762543409,1.7430577278137207
1472,b,73,6,4.300974210103353,0.4538898575936841,1.1523926258087158
1473,b,22,6,4.1066891352335615,0.46312995339314234,1.1637606620788574
1474,a,0,6,3.596736788749695,0.22086463503739492,0.5336863994598389
1475,b,6,6,3.5372833013534546,0.29651131743197784,0.6871638298034668
1476,b,17,6,3.6844846407572427,0.25173434490304264,0.6209850311279297
1477,b,13,6,3.3506370782852173,0.28299743535445954,0.686495304107666
1478,b,26,6,3.9821152289708457,0.26913918657735725,0.6624100208282471
1479,b,23,6,3.7750666538874307,0.32462438520378023,0.8382091522216797
1480,a,18,6,4.033717155456543,0.20796204170781,0.529259443283081
1481,b,36,6,4.08670711517334,0.3236391600584047,0.7822165489196777
1482,b,10,6,3.714905858039856,0.26077383199699505,0.6635067462921143
1483,b,28,6,4.212987303733826,0.251450613034357,0.6795628070831299
1484,b,39,6,4.187495191891988,0.36638556256431465,0.9461679458618164
