nohup: ignoring input
Using device cuda:0
Directory ../models already exists.
Parameters of loaded LocalRetro:
{'attention_heads': 8, 'attention_layers': 1, 'batch_size': 16, 'edge_hidden_feats': 64, 'node_out_feats': 320, 'num_step_message_passing': 6, 'activation': 'gelu', 'AtomTemplate_n': 124, 'BondTemplate_n': 547, 'in_node_feats': 80, 'in_edge_feats': 13}
../models/LocalRetro_USPTO_50K.pth exists, want to (a) overlap (b) continue from checkpoint (c) make a new model?Traceback (most recent call last):
  File "/workspace/LocalRetro/scripts/Train.py", line 95, in <module>
    main(args)
  File "/workspace/LocalRetro/scripts/Train.py", line 60, in main
    model, loss_criterion, optimizer, scheduler, stopper = load_model(args)   
  File "/workspace/LocalRetro/scripts/utils.py", line 102, in load_model
    user_answer = input('%s exists, want to (a) overlap (b) continue from checkpoint (c) make a new model?' % args['model_path'])
OSError: [Errno 9] Bad file descriptor
Using device cuda:0
Directory ../models already exists.
Parameters of loaded LocalRetro:
{'attention_heads': 8, 'attention_layers': 1, 'batch_size': 16, 'edge_hidden_feats': 64, 'node_out_feats': 320, 'num_step_message_passing': 6, 'activation': 'gelu', 'AtomTemplate_n': 124, 'BondTemplate_n': 547, 'in_node_feats': 80, 'in_edge_feats': 13}
Loading previously saved dgl graphs...

epoch 3/50, batch 1/2501, loss 0.0321
epoch 3/50, batch 21/2501, loss 0.0727
epoch 3/50, batch 41/2501, loss 0.0393
epoch 3/50, batch 61/2501, loss 0.0493
epoch 3/50, batch 81/2501, loss 0.0364
epoch 3/50, batch 101/2501, loss 0.0548
epoch 3/50, batch 121/2501, loss 0.0405
epoch 3/50, batch 141/2501, loss 0.0322
epoch 3/50, batch 161/2501, loss 0.0317
epoch 3/50, batch 181/2501, loss 0.0496
epoch 3/50, batch 201/2501, loss 0.0532
epoch 3/50, batch 221/2501, loss 0.0314
epoch 3/50, batch 241/2501, loss 0.0450
epoch 3/50, batch 261/2501, loss 0.0294
epoch 3/50, batch 281/2501, loss 0.0494
epoch 3/50, batch 301/2501, loss 0.0398
epoch 3/50, batch 321/2501, loss 0.0438
epoch 3/50, batch 341/2501, loss 0.0509
epoch 3/50, batch 361/2501, loss 0.0356
epoch 3/50, batch 381/2501, loss 0.0383
epoch 3/50, batch 401/2501, loss 0.0545
epoch 3/50, batch 421/2501, loss 0.0691
epoch 3/50, batch 441/2501, loss 0.0442
epoch 3/50, batch 461/2501, loss 0.0343
epoch 3/50, batch 481/2501, loss 0.0396
epoch 3/50, batch 501/2501, loss 0.0477
epoch 3/50, batch 521/2501, loss 0.0277
epoch 3/50, batch 541/2501, loss 0.0323
epoch 3/50, batch 561/2501, loss 0.0768
epoch 3/50, batch 581/2501, loss 0.0452
epoch 3/50, batch 601/2501, loss 0.0597
epoch 3/50, batch 621/2501, loss 0.0549
epoch 3/50, batch 641/2501, loss 0.0477
epoch 3/50, batch 661/2501, loss 0.0405
epoch 3/50, batch 681/2501, loss 0.0325
epoch 3/50, batch 701/2501, loss 0.0448
epoch 3/50, batch 721/2501, loss 0.0428
epoch 3/50, batch 741/2501, loss 0.0333
epoch 3/50, batch 761/2501, loss 0.0355
epoch 3/50, batch 781/2501, loss 0.0531
epoch 3/50, batch 801/2501, loss 0.0354
epoch 3/50, batch 821/2501, loss 0.0344
epoch 3/50, batch 841/2501, loss 0.0744
epoch 3/50, batch 861/2501, loss 0.0389
epoch 3/50, batch 881/2501, loss 0.0412
epoch 3/50, batch 901/2501, loss 0.0395
epoch 3/50, batch 921/2501, loss 0.0471
epoch 3/50, batch 941/2501, loss 0.0405
epoch 3/50, batch 961/2501, loss 0.0635
epoch 3/50, batch 981/2501, loss 0.0355
epoch 3/50, batch 1001/2501, loss 0.0511
epoch 3/50, batch 1021/2501, loss 0.0408
epoch 3/50, batch 1041/2501, loss 0.0836
epoch 3/50, batch 1061/2501, loss 0.0390
epoch 3/50, batch 1081/2501, loss 0.0369
epoch 3/50, batch 1101/2501, loss 0.0934
epoch 3/50, batch 1121/2501, loss 0.0357
epoch 3/50, batch 1141/2501, loss 0.0446
epoch 3/50, batch 1161/2501, loss 0.0560
epoch 3/50, batch 1181/2501, loss 0.0489
epoch 3/50, batch 1201/2501, loss 0.0389
epoch 3/50, batch 1221/2501, loss 0.0478
epoch 3/50, batch 1241/2501, loss 0.0484
epoch 3/50, batch 1261/2501, loss 0.0584
epoch 3/50, batch 1281/2501, loss 0.0367
epoch 3/50, batch 1301/2501, loss 0.0538
epoch 3/50, batch 1321/2501, loss 0.0596
epoch 3/50, batch 1341/2501, loss 0.0363
epoch 3/50, batch 1361/2501, loss 0.0673
epoch 3/50, batch 1381/2501, loss 0.0378
epoch 3/50, batch 1401/2501, loss 0.0560
epoch 3/50, batch 1421/2501, loss 0.0296
epoch 3/50, batch 1441/2501, loss 0.0346
epoch 3/50, batch 1461/2501, loss 0.0396
epoch 3/50, batch 1481/2501, loss 0.0491
epoch 3/50, batch 1501/2501, loss 0.0539
epoch 3/50, batch 1521/2501, loss 0.0424
epoch 3/50, batch 1541/2501, loss 0.0440
epoch 3/50, batch 1561/2501, loss 0.0545
epoch 3/50, batch 1581/2501, loss 0.0379
epoch 3/50, batch 1601/2501, loss 0.0681
epoch 3/50, batch 1621/2501, loss 0.0379
epoch 3/50, batch 1641/2501, loss 0.0574
epoch 3/50, batch 1661/2501, loss 0.0595
epoch 3/50, batch 1681/2501, loss 0.0319
epoch 3/50, batch 1701/2501, loss 0.0440
epoch 3/50, batch 1721/2501, loss 0.0476
epoch 3/50, batch 1741/2501, loss 0.0333
epoch 3/50, batch 1761/2501, loss 0.0891
epoch 3/50, batch 1781/2501, loss 0.0549
epoch 3/50, batch 1801/2501, loss 0.0296
epoch 3/50, batch 1821/2501, loss 0.0417
epoch 3/50, batch 1841/2501, loss 0.0332
epoch 3/50, batch 1861/2501, loss 0.0560
epoch 3/50, batch 1881/2501, loss 0.0850
epoch 3/50, batch 1901/2501, loss 0.0466
